node_id,lat,long
sxkdt9,41.2289428710938,29.0753173828125
sxk9e0,41.0476684570313,28.9654541015625
sx7fvd,41.2783813476563,28.0206298828125
sx7fvm,41.2948608398438,28.0096435546875
sxk9qm,41.0311889648438,29.1082763671875
sxk994,41.0586547851563,28.8775634765625
sxk6mr,41.2179565429688,28.7127685546875
sxkd94,41.2344360351563,28.8775634765625
sxkc5q,40.9927368164063,29.3280029296875
sxk9c2,41.0916137695313,28.8885498046875
sxk9vq,41.1245727539063,29.0643310546875
sxkc50,40.9597778320313,29.3170166015625
sxk3sk,41.0696411132813,28.6688232421875
sxk906,40.9707641601563,28.8446044921875
sxk97p,41.0421752929688,28.9654541015625
sxk9pq,40.9927368164063,29.1522216796875
sxk4pw,41.1685180664063,28.4600830078125
sxk4pu,41.1575317382813,28.4710693359375
sxk393,41.0531616210938,28.5369873046875
sxkb6n,40.8609008789063,29.2730712890625
sxkcex,41.0861206054688,29.3389892578125
sxkb8x,40.9103393554688,29.2071533203125
sxk9nt,40.9872436523438,29.1192626953125
sxk9sq,41.0806274414063,29.0203857421875
sxk33f,41.0147094726563,28.5589599609375
sxkf25,41.1959838867188,29.1851806640625
sxk3p4,40.9707641601563,28.7896728515625
sxkb9f,40.8828735351563,29.2620849609375
sxk3pn,40.9927368164063,28.7896728515625
sxk1wf,41.0586547851563,28.4271240234375
sxkfn0,41.1355590820313,29.4488525390625
sxk9tz,41.0861206054688,29.0863037109375
sxk3th,41.0696411132813,28.7017822265625
sxk6pb,41.1355590820313,28.8226318359375
sxk6p9,41.1410522460938,28.8116455078125
sxkcdd,41.0586547851563,29.2950439453125
sxk960,41.0037231445313,28.9215087890625
sxk1fc,41.0971069335938,28.2513427734375
sxk675,41.1959838867188,28.6138916015625
sxk981,41.0531616210938,28.8336181640625
sxk3ew,41.0806274414063,28.6358642578125
sxk365,41.0202026367188,28.5699462890625
sxk997,41.0641479492188,28.8885498046875
sxkc92,41.0476684570313,29.2401123046875
sxk3jv,40.9872436523438,28.7347412109375
sxk6pe,41.1520385742188,28.8116455078125
sxk9k5,41.0202026367188,29.0093994140625
sxkcfq,41.1245727539063,29.2840576171875
sxk3rf,41.0147094726563,28.8226318359375
