DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
2024-01-01 00:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,90,52,79
2024-01-01 01:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,114,38,145
2024-01-01 02:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,117,44,128
2024-01-01 03:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,111,44,136
2024-01-01 04:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,128,60,146
2024-01-01 05:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,160,66,162
2024-01-01 06:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,130,71,154
2024-01-01 07:00:00,41.0476684570313,29.0313720703125,sxk9s8,11,124,80,154
2024-01-01 08:00:00,41.0476684570313,29.0313720703125,sxk9s8,13,137,81,115
2024-01-01 09:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,134,75,98
2024-01-01 10:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,118,66,128
2024-01-01 11:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,99,58,204
2024-01-01 12:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,99,49,132
2024-01-01 13:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,94,46,150
2024-01-01 14:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,81,45,177
2024-01-01 15:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,82,47,164
2024-01-01 16:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,84,44,173
2024-01-01 17:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,84,41,180
2024-01-01 18:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,83,42,174
2024-01-01 19:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,90,49,172
2024-01-01 20:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,94,52,178
2024-01-01 21:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,127,50,247
2024-01-01 22:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,94,52,173
2024-01-01 23:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,110,52,170
2024-01-03 00:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,124,57,138
2024-01-03 01:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,140,55,111
2024-01-03 02:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,116,51,72
2024-01-03 03:00:00,41.0476684570313,29.0313720703125,sxk9s8,13,123,80,37
2024-01-03 04:00:00,41.0476684570313,29.0313720703125,sxk9s8,11,127,76,42
2024-01-03 05:00:00,41.0476684570313,29.0313720703125,sxk9s8,9,124,71,128
2024-01-03 06:00:00,41.0476684570313,29.0313720703125,sxk9s8,12,107,73,52
2024-01-03 07:00:00,41.0476684570313,29.0313720703125,sxk9s8,12,82,58,137
2024-01-03 08:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,78,48,139
2024-01-03 09:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,89,52,130
2024-01-03 10:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,103,53,121
2024-01-03 11:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,94,54,115
2024-01-03 12:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,100,45,91
2024-01-03 13:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,100,47,98
2024-01-03 14:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,81,40,88
2024-01-03 15:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,89,49,114
2024-01-03 16:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,87,49,117
2024-01-03 17:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,80,52,115
2024-01-03 18:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,83,50,145
2024-01-03 19:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,94,51,191
2024-01-03 20:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,94,50,224
2024-01-03 21:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,118,52,228
2024-01-03 22:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,106,59,166
2024-01-03 23:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,101,48,179
2024-01-04 00:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,122,61,162
2024-01-04 01:00:00,41.0476684570313,29.0313720703125,sxk9s8,4,129,56,89
2024-01-04 02:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,129,49,86
2024-01-04 03:00:00,41.0476684570313,29.0313720703125,sxk9s8,1,152,56,56
2024-01-04 04:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,135,67,39
2024-01-04 05:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,133,74,133
2024-01-04 06:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,118,67,318
2024-01-04 07:00:00,41.0476684570313,29.0313720703125,sxk9s8,7,92,61,267
2024-01-04 08:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,86,40,151
2024-01-04 09:00:00,41.0476684570313,29.0313720703125,sxk9s8,6,98,48,100
2024-01-04 10:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,77,49,64
2024-01-04 11:00:00,41.0476684570313,29.0313720703125,sxk9s8,3,81,49,103
2024-01-04 12:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,78,46,112
2024-01-04 13:00:00,41.0476684570313,29.0313720703125,sxk9s8,2,84,38,120
